序号,中文名,_id,name,province,district,commune,landarea_h,capital,developer,cdc_num,date_cdc,sub_decree,date_sub,cdc_status,cur_status,pre_status,com_invest,reference,referen_kh,last_updat,Latitude,Longitude,地理位置（省/市）,联系人姓名,联系电话,邮箱,总面积/公顷,已用,已进军企业,工人,土地售价（$/m²）,出租,厂房租金（$/m²/月）,电价（$/kWh）,水价（$/m³）,物业费（$/m²/月）,注册公司费用（$）一站式服务,免税年限,可租面积（m²）,可售面积（m²）,土地可否购买,是否可建化工,水库,发电厂支持,是否保税区,交通物流,污水价格,污水处理/立方/日,宿舍,食堂,调研工业园区同时，也要了解入住企业情况？都是哪里来的企业？什么行业较多？企业需求？也看看，除了中国人做的工业园区，还有哪国人再做？类型？,,,,,,
,,11,Kampot SEZ,Kampot,Kampot,Koh Touch,145,15000000,Oknha Vinh Huor,1947,23-May-06,3,9-Jan-07,Operating,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,Jul 2011__Under construction,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_03__09.01.2007.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,10.569502,104.078713,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,Phnom Penh SEZ,Phnom Penh,Pur SenChey,Kantaok;Phleung Chheh Roteh;Boeng Thum,350.001,59000000,Neak Oknha Kith Meng (Mr.),268,20-Feb-06,33,19-Apr-06,Operating,"Feb 2014__Fencing, roads, administrative building, entrance, electricity, water, and telecommunication systems have been installed.",Jul 2011__Operational,100 Companies,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_33__19.04.2006.pdf;CDC_SEZ_Operating__00.00.2023.pdf;RGPPSEZ_presentation_EN__00.06.2023.pdf,,17/10/2023,11.48355,104.784328,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,Poi Pet O'Neang SEZ,Banteay Meanchey,O'Chhrov,Nimitt; Poipet,467,15000000,Mrs. Van Ny,3412,7-Oct-05,57,1-Jun-06,Operating,"Feb 2014__Infrastructure developing: fencing, entrance gate, electric pole.",Jul 2011__Under construction,1 Company,All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_57__01.06.2006.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,13.664943,102.559502,Not Opearating,,018 935 6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14,Neang Kok Koh Kong SEZ,Koh Kong,Mondol Seima,Pak Khlang,335.43,,Okhna Ly Yong Phat,3399,26-Nov-02,159,26-Oct-07,Operating,Feb 2014__Infrastructure developing: fencing,Jul 2011__Under construction,2 Companies,All_SEZ_list_by_2009.pdf;Sub-decree_No_159__26.10.2007.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,11.645726,102.933879,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,Suoy Chheng SEZ,Koh Kong,Mondol Seima,Pak Khlang,100,14000000,Mrs. Kao Souy Chheng,3391,26-Nov-02,Not found,Not Found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,11.649432,102.922469,Not Operating,Ly Yong Pat,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,Oknha Mong SEZ,Koh Kong,Srae Ambel,Srae Ambel,100,40107080,Oknha Mong Rithy,26,4-Jan-07,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,11.098991,103.725594,Not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17,Kampong Saom SEZ,Preah Sihanouk,Stung Hav,Ou Treh,255,190000000,Okhna Kith Meng,21,6-Jan-09,Not found,Not found,Not found,Feb 2014__Infrastructure developing: landfilling and building Kampot Seaport.,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,9/4/2014,10.736762,103.63408,operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,Pacific (SEZ) I C,Svay Rieng,Svay Teab,Chrak Mtes,107.55,70000000,Mr.Chea Eav Meng; Mr.Gau Hieck Huor;Mrs.Yin Phanny; Mrs.Sim Moniroth;Mr.Ly Vireak,20,6-Jan-09,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodian_SEZ_Board__01.07.2009.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,11.055782,106.029818,,,018 935 6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,Kiri Sakor Koh Kong SEZ,Koh Kong,Kiri Sakor,Prek Khsach;Phnhi Meas,0,110818860,Okhna Ly Yong Phat,4762,25-Dec-07,125,5-Sep-08,Not found,Feb 2014__Infrastructure developing,Jul 2011__Under construction,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub_decree_No_125__15.09.2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,11.182451,103.22264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,S.N.C SEZ,Preah Sihanouk,Prey Nob,Bet Trang,150,14000000,Oknha Kong Triv,3388,26-Nov-02,Not found,Not found,Not found,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf,,17/5/2016,10.615929,103.611933,,Sihanoukvill Autonomous Port, +855-(0)16-989-536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,Stung Hav SEZ,Preah Sihanouk,Stung Hav,O'Tres,192,14000000,Ms. Lim Chhiv Ho,544;1114,18 Feb 2005;28 May 2010,50,25-Mar-05,Operating,Feb 2014__Infrastructure developing,Jul 2011__No activities,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,10.729682,103.60503,Not Opearating,,23726168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,Sihanoukville SEZ,Preah Sihanouk,Stung Hav,O'Tres,178,100000000,Oknha Lav Meng Khin,1966,4-Sep-98,113,25-Oct-06,Operating,Feb 2014__Infrastructure developing,Jul 2011__Under construction,2 Companies,All_SEZ_list_by_2009.pdf;Sub_decree_No_113__25.10.2006.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,10.732944,103.626545,Not Opearating,全球马格尼茨基人权问责法案: 侵犯人权或重大腐败行为,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,Sihanoukville SEZ 1,Preah Sihanouk,Prey Nob,Bet Trang; Ream,1113.96,320000000,Oknha Lav Meng Khin,3479;2162,05 Sep 2007;29 June 2007,24,17-Mar-08,Operating,"Feb 2014__Infrastructure developing: building fence, roads, adminstrative building, entrance, electricity, water, and telecommunication system.",Jul 2011__Operational,18Companies,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;Sub-Decree_No_24__17.03.2008.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,28/03/2016,10.607107,103.620768,Not Opearating,全球马格尼茨基人权问责法案: 侵犯人权或重大腐败行为,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,Sihanoukville Port SEZ,Preah Sihanouk,Preah Sihanouk,Sangkat Mouy; Sangkat Bei,70,34000000,PAS & JBIC Loan CP-P6,502,8-Feb-08,147,2-Sep-09,Operating,Feb 2014__Infrastructure developing,Jul 2011__Under construction,1 Company,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;All_SEZ_list_by_2009.pdf;CDC__22.04.2013.pdf;Cambodia_Special_Economic_Zones__00.07.2011.pdf;Sub_Decree_No_147__02.09.2009.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,10.645173,103.513075,柴桢省木牌市,,088 4011 055,,263.1,,,,45,,1.9,0.137,0.7,0.05,20000,,16000,10000,50年,,,,,西贡港口98公里,0.52,,,,,,,,,,
,,25,Shandong Sunshell Svay Rieng SEZ,Svay Rieng,Bavet,Prey Angkunh,96.14,36709800,Mrs. Zhou Yong,607/13,27-Mar-13,462,1-Jul-13,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_462__01.07.2013.pdf;Determination_No_41__30.10.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,11.036157,106.00286,,,097 411 0662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,Zhong Jian Jin Bian Jing Ji Te Qu SEZ,Kampong Chhnang,Kampong Tralach,Ta Ches,470.28,90706000,Mr. Chan An Drew,767/13,19-Apr-13,466,22-Jul-13,Not found,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_466__22.07.2013.pdf,,17/5/2016,12.022271,104.721158,not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,Sanco Cambo SEZ,Banteay Meanchey,Poipet,Phsar Kandal,66.5024,38613485,Mr. Chhour Vichet;Mr. Takahiro yamamoto,911/13,3-May-13,481,11-Sep-13,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_481__11.09.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,13.653887,102.601206,,SOR CHENDA,(+855) 70793132,,65,15,9,2000,160,,,,,,,,,,,,,,,,,,,,"NHK，TOYATA ELECTRONIC, 电子产品",,,,,,
,,28,Dragon King Bavet SEZ,Svay Rieng,Bavet,Prey Angkunh,106.5,40488000,Mrs. Ngov Mok,1875/12,16-Aug-12,190,25-Oct-12,Operating,2015__Infrastructure developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Decision_No_40__30.10.2013.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,11.038452,106.050892,,,12813640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,29,Sovannaphum SEZ,Kandal,Kien Svay,Samraong Thum,204.58,55792000,Not found,Not found,Not found,60,11-Feb-14,Operating,Not found,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf;Sub_Decree_No_60__10.02.2014.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,17/5/2016,11.369936,105.248661,,, (+855) 15 911 889,70487444,204.8,40,4,,,,2.5,0.137,,,,,,,,,,,,,,,,,"Thai F&B, Singapore, Malaysia, 3-11hectars ",,,,,,
,,30,Svay Rieng GIGA Resource SEZ,Svay Rieng,Svay Teab,Kandieng Reay,126.9018,,Not found,Not found,Not found,219,24-Jul-14,Operating,Not found,Not found,Not found,Sub_Decree_No_219__24.07.2014.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,20/8/2014,11.046266,105.957692,,刘经理,17466883,,222,,,,37,,,0.137,0.52,0.05,,,,,50,,,,,,,,,,,,,,,,
,,31,KANDAL S.E.Z,Kandal,Khsach Kandal,Prek Ampil,105,84739160,Mr. Lim Chong Soo,1143/12,4-Jun-12,Not found,Not found,Not found,2015__Infrastructure Developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,,17/5/2016,11.642832,104.956804,not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,H.K.T S.E.Z,Preah Sihanouk,Prey Nob,Teuk Thla,345.2,48358802,Neak Oknha Sy Kong Triv; Oknha Hann Khien; Oknha Vinh Huor; Mrs. Feng Ying; Mr. Shen Jian Ping; Mr. Lui Bin; Mr. Li Cheng Chun Richard,1862/12,15-Aug-12,189,25-Oct-12,Not found,2015__Infrastructure Developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,,17/5/2016,10.642271,103.907369,Not opearating,,,,345.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33,RATANA SEZ,Koh Kong,Sre Ambel,Chroy Svay,615.62,172866660,Mrs. Heng Sok Meng,131/13,16-Jan-13,Not found,Not found,Not found,2015__Infrastructure Developing,Not found,Not found,IRITWG_Overview_of_the_Transport_Infrastructure_Sector_in_the_Kingdom_of_Cambodia__2015.pdf,,17/5/2016,10.981901,103.721815,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34,Chhak Kampongsaom SEZ,Koh Kong,Sre Ambel,Boeung Preav;Chroy Svay,185.66,,Not found,Not found,Not found,53,29-Mar-16,Not found,Not found,Not found,Not found,Sub_Decree_No_53__29.03.2016.pdf,,17/5/2016,11.021128,103.783417,Not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35,UBE Snoul SEZ,Kratie,Snoul,Pi Thnu,817.8,90000000,Zhongqi Holding Group,Not found,Not found,131,24-Jun-16,Not found,Not found,Not found,Not found,Sub_Decree_No_131__24.06.2016.pdf;Decision_No_54__01.08.2022.pdf;Cambodian_KratiÃ©_Special_Economic_Zone__07.02.2018.pdf,,17/5/2016,12.007892,106.508182,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,Tian Rui Agricultural Trade SEZ,Kampong Speu,Kong Pisey,Roka Koh,101.36,2000000000,Qingdao Tian Rui Group,Not found,Not found,132,24-Jun-16,Not found,Not found,Not found,Not found,Sub-decree.No.132__24.06.2016.pdf;Agro-processing_SEZ_moves_closer_to_reality_04.07.2017.pdf,,17/5/2016,11.40472,104.674589,not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37,Poipet PP SEZ,Banteay Meanchey,Poipet,Phsar Kandal,68.4,17000000,Neak Oknha Kith Meng,Not found,Not found,92,29-May-17,Operating,"Feb 2017__fisnished all areas's UXO removal, earth works, site office, and drainage pipe under construction",Not found,Not found,Sub_decree_No_92__29.05.2017.pdf;Poipet_PPSEZ_Presentation__02.2017.pdf;Royal_Group_Poipet_PP_SEZ__00.05.2022.pdf;CDC_SEZ_Operating__00.00.2023.pdf;RGPPSEZ_Presentation_EN__00.01.2023.pdf,,17/10/2023,13.644651,102.6096,,, +855 92 729 798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,Intervia Automobile Industry Complex SEZ,Svay Rieng,Bavet,Chrak Mtes,111.2053,,Lee Jaehoo,Not found,Not found,103,27-Jun-17,Operating,Not found,Not found,Not found,Sub_decree_No_103__27.06.2017.pdf;Company_Details_Intervia_Automobile_Industry_Complex_SEZ.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,11/8/2017,11.055912,106.080297,,,015 141 4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39,Cambodia-Sino Metallic Material SEZ,Preah Sihanouk,Stung Hav,Keo Pos,55.0008,,Not found,Not found,Not found,145,1-Nov-18,Not found,Not found,Not found,Not found,Sub_decree_No_145__01.11.2018.pdf,,5/1/2018,10.935131,103.727077,Not Opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40,Cambodian Zhejiang Guoji SEZ,Preah Sihanouk,Prey Nob,Cheung Kou,,,Not found,Not found,Not found,Not found,Not found,Operating,Not found,Not found,Not found,Decision_No_15__20.02.2019.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,12/9/2019,10.762153,103.803866,,,85592666131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,Sisit SEZ,Koh Kong,Sre Ambel,Chroy Svay,2142.0722,,Not found,Not found,Not found,122,27-Aug-19,Not found,Not found,Not found,Not found,Sub_Decree_No_122__27.08.2019.pdf; Sub_Decree_No_83__09.06.2020.pdf,,16/01/2020,11.006641,103.74599,Not opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,42,CAM MJ Agricultural Park SEZ,Preah Sihanouk,Prey Nob,Cheung Kou,99.3082,150000000,Qiu Guoxing,Not found,Not found,159,25-Oct-19,Not found,Not found,Not found,Not found,Sub_Decree_No_155__25.10.2019.pdf;A_Company_Plans_To_Invest_In_Mango_Processing_InCambodia__05.10.2019.pdf;Prince_Real_Estate_To_Build_Industrial_Park_In_Kampong_Speu__30.05.2018.pdf,,14/02/2019,10.824454,103.809436,Not Opearating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43,Ultrapower Technology SEZ,Kampong Speu,Samraong Tong,Tang Krouch,67.3888,,Not found,Not found,Not found,200,6-Dec-19,Not found,Not found,Not found,Not found,Sub_Decree_No_200__06.12.20.pdf,,4/3/2019,11.555755,104.396988,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,44,Songoun Kandal Stung,Kandal,Kadal Stung,Trapeang Veng,50.1623,,Not found,Not found,Not found,47,3-Apr-20,Not found,Not found,Not found,Not fouund,Sub_Decree_No_47__03.04.2020.pdf,,29/6/2020,11.387618,104.770012,not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,45,Kerry Worldbridge SEZ,Phnom Penh,Dangkor,Prek Kampues,63,100000000,Sear Rithy,Not found,Not found,Not found,Not found,Operating,Not found," Provide long term leasehold property for foreign manufacturers, infrastructure and support services",Not fouund,construction_property_kerry_worldbridge_sez_breaks_ground__31.12.2015.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,24/7/2020,11.440311,104.918606,,,023 901 245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,齐鲁柬埔寨特区,46,Qi Lu Jian Pu Jay SEZ,Svay Rieng,Svay Rieng,Svay Toea,178,1000000,Not found,Not found,Not found,Not found,Not found,Operating,Not found,"Textile & clothing, light industry products, food processing and machinery & electronics as leading industries.",Not fouund,sez_qi_lu_jian__23.07.2020.pdf; asean_investment_report_2017.pdf;Sub_Decree_No_47__28.03.2017.pdf;CDC_SEZ_Operating__00.00.2023.pdf,,24/7/2020,11.068463,105.851741,,,855-886123456,,360,,,,48,,2.2,0.137,0.6,0.04,2.5万,3到9年,,,,,450立方,7000千伏,,离西贡港口150公里,,1万,,,,,,,,,
,,47,Sunying Pal and Paper Environmental Technology SEZ,Kampot,Bokor Municipality,Preaek Tnoat,140.722,,Not found,Not found,Not found,34,14-Feb-22,Not found,Not found,Not found,Not found,Sub_Decree_No_34__14.02.2022.pdf,,16.06.2022,10.572411,103.995182,Not operating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
